created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,Deidentified_text,keywords_matched
2024-12-09T05:46:09.000Z,,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-09T05:19:24.000Z,"Phoenix, AZ",,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-09T02:00:47.000Z,,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-09T00:31:40.000Z,,,,,False,Yup when I was in [ORGANIZATION] this nice beautiful black woman pedestrian spoke up when I wasn't speaking hardly to anyone except the homeless friends of the night people cops when called upon by white couples in cars and LGBTQ that tried to get me to accept from them,homeless
2024-12-08T21:34:07.000Z,,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T19:55:39.000Z,"Buffalo, NY",,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T18:27:01.000Z,Rochester NY,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T17:48:15.000Z,,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T15:35:55.000Z,"Florida, USA",,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T14:10:23.000Z,,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T13:17:10.000Z,"Edina, MN",,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T11:58:10.000Z,"buffalo, ny",,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T08:06:32.000Z,"Lewes, Delaware, USA",,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T06:33:08.000Z,"Okeechobee, FL",,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T05:48:56.000Z,Living in Tokyo (東京都八王子市),,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T05:00:55.000Z,Niagara U & St.Bona’s Alum,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T04:37:41.000Z,Toronto Ontario ,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T04:33:21.000Z,,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-08T04:04:09.000Z,,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
